A/C Group,Start,End,W/O,A/C,Issue Date,Due Date,Closing Date,ATA,DD,MEL,MEL Ref.,Description,Action
Own Configuration,2022-08-01,2023-07-31,48548,PWA,2023-05-21,,2023-05-21,21,0,0,,"1 WORKSTEP ADDED BY RHAL ON 21.MAY.2023, 18:00 DURING CLIMB,COKPIT TEMPERATURE ALWAYS INCREASING UNTIL REACHTED 36 DEGREE CELCIUS (MAX) DURING CRZ & DES BECAME LOWER","ACTION PERFORMED BY RHAL ON 21.MAY.2023, 18:00 REF TSM 21-63-00-810-822 A.DO PRE-CONDITIONING WITH APU REF AMM 12-33-21-618-001-A02.RESULT COCKPIT SHOW 22 DEGREE CELCIUS (SAME WITH"
Own Configuration,2022-08-01,2023-07-31,48549,PWG,2023-05-30,,2023-05-30,24,0,1,24-00-03A,"1 WORKSTEP ADDED BY FANY ON 30.MAY.2023, 04:00 AC GEN ON MAINTENANCE STATUS DURING BD CHECK FOUND AC GEN ON MAINTENANCE STATUS","ACTION PERFORMED BY FANY ON 30.MAY.2023, 04:00 DUE TO TIME FOR TROUBLESHOOTING, TRANSFER TO HIL REF MEL 24-00-03A CAT C"
Own Configuration,2022-08-01,2023-07-31,48550,PWG,2023-05-30,,2023-06-04,36,0,1,36-00-01F,"1 WORKSTEP ADDED BY FANY ON 30.MAY.2023, 04:00 AIRBLEED ON MAINTENANCE STATUS DURING BD CHECK FOUND AIRBLEED ON MAINTENANCE STATUS","ACTION PERFORMED BY FANY ON 30.MAY.2023, 04:00 DUE TO TIME, TRANSFER TO HIL REF MEL 36-00-01F CAT C PERFORMED SIGN FANY"
Own Configuration,2022-08-01,2023-07-31,48557,PWG,2023-05-30,,2023-05-30,28,0,1,28-21-02A,"1 WORKSTEP ADDED BY FANY ON 30.MAY.2023, 04:00 CTR TANK 2 FAULT DURING BD CHECK FOUND FUEL TANK CENTER TANK PUMP NO 2 FAULT","ACTION PERFORMED BY FANY ON 30.MAY.2023, 04:00 DUE TO TIME FOR TROUBLESHOOTING, TRANSFER TO HIL REF MEL 28-21-02A PERFORMED SIGN FANY"
Own Configuration,2022-08-01,2023-07-31,48562,PWA,2023-05-21,,2023-05-21,33,0,0,,"1 WORKSTEP ADDED BY RHAL ON 21.MAY.2023, 19:30 FOUND TAKE OFF LT NOT ILL DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 21.MAY.2023, 19:30 DO R/I TAKE OFF LT BULB D/TNOT ILL .OPC RESULT ILLUMINATE.REF AMM.33-46-11-960-001-A"
Own Configuration,2022-08-01,2023-07-31,48563,PWA,2023-05-21,,2023-05-21,NAN,0,0,,"1 WORKSTEP ADDED BY RHAL ON 21.MAY.2023, 20:00 PERFORM WEEKLY CHECK DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 21.MAY.2023, 20:00 WEEKLY CHECK PERFORMED REF.FORM.F.MNT.E.105.(2-02) PERFORMED SIGN RHAL"
Own Configuration,2022-08-01,2023-07-31,48564,PWA,2023-05-21,,2023-05-21,NAN,0,0,,"1 WORKSTEP ADDED BY RHAL ON 21.MAY.2023, 22:30 TO PERFORM BD CHECK DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 21.MAY.2023, 22:30 BD CHECK PERFORMED REF FORM.F.MNT.E.102.R00 PERFORMED SIGN RHAL"
Own Configuration,2022-08-01,2023-07-31,48565,PWA,2023-05-22,,2023-05-22,21,0,0,,"1 WORKSTEP ADDED BY CHOA ON 22.MAY.2023, 04:20 COCKPIT CABIN TEMP HIGH DURING CLIMB COCKPIT 30 DEGREES CELCIUS DESCRIPTION SIGN CHOA","ACTION PERFORMED BY CHOA ON 22.MAY.2023, 04:20 REF TSM 21-63-00-810-822 A.DO PRE CONDITIONING WITH APU REF AMM 12-33-21-618-001-A02."
Own Configuration,2022-08-01,2023-07-31,48566,PWA,2023-05-22,,2023-05-22,21,0,0,,"1 WORKSTEP ADDED BY ATV ON 22.MAY.2023, 13:00 COCKPIT TEMP ON CLIMBING +- 25000 FT STARTED TO RISE TO 36 DEGREES CELCIUS .VERY HOT (REPETITIVE PROBLEMS)","ACTION PERFORMED BY ATV ON 22.MAY.2023, 13:00 REF AMM 21-63-00-100-801-A.DO CLEANING OF COCKPIT AND CABIN SENSOR DUCT AND TEMPERATURE SENSOR PERFORMED ,"
Own Configuration,2022-08-01,2023-07-31,48567,PWA,2023-05-22,,2023-05-22,31,0,0,,"1 WORKSTEP ADDED BY ATV ON 22.MAY.2023, 13:30 INSPECTION REMARK FOUND PAPER PRINTER EMPTY DESCRIPTION SIGN ATV","ACTION PERFORMED BY ATV ON 22.MAY.2023, 13:30 REF AMM 31-35-22-600-001-A.DO SERVICING OF THE PRINTER PERFORMED"
Own Configuration,2022-08-01,2023-07-31,48568,PWA,2023-05-22,,2023-05-23,NAN,1,0,,"1 WORKSTEP ADDED BY ATV ON 22.MAY.2023, 14:10 REF CML SEQ C.001579 D2 SEAT COVER LAV A FOUND BROKEN DESCRIPTION SIGN ATV","ACTION PERFORMED BY ATV ON 22.MAY.2023, 14:10 AFTER CHECK NEED REPLACED COVER SEATER LAV A.DUE TO CGK NIL SPARE INSERT TO HILL ""NON CAT """
Own Configuration,2022-08-01,2023-07-31,48569,PWA,2023-05-22,,2023-05-22,NAN,0,0,,"1 WORKSTEP ADDED BY NASU ON 22.MAY.2023, 22:00 TO PERFORM BD CHECK DESCRIPTION SIGN NASU","ACTION PERFORMED BY NASU ON 22.MAY.2023, 22:00 BD CHECK PERFORMED  REF FORM.F.MNT.E.102 (2-02) PERFORMED SIGN NASU"
Own Configuration,2022-08-01,2023-07-31,32187,PWA,2023-05-29,,2023-06-14,24-28,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 OPERATIONAL TEST OF THE STATIC INVERTER TEST OF THE CORRECT POWER SUPPLY OF THE DC ESS BUS, AC ESS BUS AND AC",
Own Configuration,2022-08-01,2023-07-31,48574,PWA,2023-05-23,,2023-05-23,NAN,0,0,,"1 WORKSTEP ADDED BY IMPU ON 23.MAY.2023, 13:30 PERFORM 24HR CHECK DESCRIPTION SIGN IMPU","ACTION PERFORMED BY IMPU ON 23.MAY.2023, 13:30 24HR CHECK PERFORMED  REF FORM.F.MNT.E.103.(2-02) PERFORMED SIGN IMPU"
Own Configuration,2022-08-01,2023-07-31,48576,PWA,2023-05-23,,2023-05-23,NAN,0,0,,"1 WORKSTEP ADDED BY ISMA ON 23.MAY.2023, 22:30 TO PERFORM BD CHECK DESCRIPTION SIGN ISMA","ACTION PERFORMED BY ISMA ON 23.MAY.2023, 22:30 BD CHECK PERFORMED REF FORM.F.MNT.E.102.(2-02) PERFORMED SIGN ISMA"
Own Configuration,2022-08-01,2023-07-31,48577,PWA,2023-05-22,,2023-05-22,NAN,0,0,,"1 WORKSTEP ADDED BY ATV ON 22.MAY.2023, 14:00 TO PERFORM DAILY CHECK DESCRIPTION SIGN ATV","ACTION PERFORMED BY ATV ON 22.MAY.2023, 14:00 DAILY CHECK PERFORMED REF FORM.F.MNT.E.104 PERFORMED SIGN ATV"
Own Configuration,2022-08-01,2023-07-31,48578,PWA,2023-05-24,,2023-05-24,NAN,0,0,,"1 WORKSTEP ADDED BY MAUL ON 24.MAY.2023, 16:00 TO PERFORM DAILY CHECK DESCRIPTION SIGN MAUL","ACTION PERFORMED BY MAUL ON 24.MAY.2023, 16:00 DAILY CHECK PERFORMED REF FORM.F.MNT.E.10E PERFORMED SIGN MAUL"
Own Configuration,2022-08-01,2023-07-31,32205,PWA,2023-05-29,,2023-06-14,53-11,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 CLEAN DOOR GIRT BAR FITTING STOP LEVERS DESCRIPTION SIGN RIZKY",
Own Configuration,2022-08-01,2023-07-31,32209,PWA,2023-05-29,,2023-06-14,26,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 STEP-1  OPERATIONAL CHECK OF LOOP/SQUIB",
Own Configuration,2022-08-01,2023-07-31,32213,PWA,2023-05-29,,2023-06-14,26,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 STEP-1  OPERATIONAL CHECK OF CARGO COMPARTMENT SMOKE DETECTION BY PTT",
Own Configuration,2022-08-01,2023-07-31,32216,PWA,2023-05-29,,2023-06-14,26,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 STEP-1 OPERATIONAL CHECK OF CARGO COMPARTMENT SMOKE DETECTION BY CFDS TO",
Own Configuration,2022-08-01,2023-07-31,32232,PWA,2023-05-29,,2023-06-14,26,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 STEP-1  CHECK PRESSURE GAUGE READING",
Own Configuration,2022-08-01,2023-07-31,32234,PWA,2023-06-02,2024-06-16,,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1  OPERATIONAL CHECK OF DAMPING MEASUREMENT BY BITE",
Own Configuration,2022-08-01,2023-07-31,32248,PWA,2023-05-16,,2023-05-16,27-24,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 16.MAY.2023, 06:59 OPERATIONAL TEST OF THE RUDDER SERVOCONTROLS PERFORM THE OPERATIONAL CHECK OF RUDDER SERVOCONTROLS WITH INDIVIDUAL",
Own Configuration,2022-08-01,2023-07-31,32249,PWA,2023-06-02,2024-06-16,,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1  OPERATIONAL CHECK OF DAMPING MEASUREMENT BY BITE",
Own Configuration,2022-08-01,2023-07-31,32251,PWA,2023-06-02,2024-03-01,,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1 LUBRICATION OF RUDDER HINGE BEARING NO 6 WITH GREASE MAT. NO. 04-037",
Own Configuration,2022-08-01,2023-07-31,32254,PWA,2023-06-02,2024-03-01,,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1  LUBRICATION OF ELEVATOR SERVOCONTROL ROD EYE END BEARING",
Own Configuration,2022-08-01,2023-07-31,32255,PWA,2023-05-16,,2023-05-16,27-40,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 16.MAY.2023, 06:59 THSA OPERATIONAL TEST PERFORM OPERATIONAL CHECK OF THS ACTUATOR WITH INDIVIDUAL HYDRAULIC",
Own Configuration,2022-08-01,2023-07-31,32256,PWA,2023-06-02,2024-03-08,,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1  OPERATIONAL CHECK OF THS ACTUATOR JAMMING PROTECTION DEVICE",
Own Configuration,2022-08-01,2023-07-31,32261,PWA,2023-06-02,2024-03-01,,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1 LUBRICATION OF THS MECHANICAL CONTROL CHAINS AND REAR CABLE (AREA OF",
Own Configuration,2022-08-01,2023-07-31,48645,PWA,2023-05-30,,2023-05-30,25,0,0,,"1 WORKSTEP ADDED BY DYAD ON 30.MAY.2023, 16:00 REF JC NO A0000038 100001581 REPLACE OF INFLATION RESERVOIR FOR THE ESCAPE SLIDE","ACTION PERFORMED BY DYAD ON 30.MAY.2023, 16:00 A2. DO R/I RESERVOIR INFLATION FOR THE OFF WING ESCAPE SLIDE 7506MM REF AMM 25-62-46-000-001-A / 400-001-A OPC TEST THROUGH CIDS PERFORMED"
Own Configuration,2022-08-01,2023-07-31,32289,PWA,2023-05-29,,2023-06-14,27,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56   STEP-1   LUBRICATE SPOILER NO 1 TO 5 ACTUATOR ATTACHMENTS",
Own Configuration,2022-08-01,2023-07-31,32296,PWA,2023-05-19,,2023-05-19,27-90,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 19.MAY.2023, 04:26 OPERATIONAL CHECK OF LOGICS 27-96-00-710-018 OPERATIONAL CHECK IAW AMM TASK :",
Own Configuration,2022-08-01,2023-07-31,32302,PWA,2023-05-29,,2023-06-14,28,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 STEP-1  VISUAL CHECK OF VENT SURGE TANK BURST DISC (EXTERNAL)",
Own Configuration,2022-08-01,2023-07-31,32314,PWA,2023-06-02,2024-03-01,,28,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1  OPERATIONAL CHECK OF CENTRE TANK FUEL PUMP GFI (SFAR88)",
Own Configuration,2022-08-01,2023-07-31,48709,PWH,2023-06-22,2023-10-05,,78-32,0,0,,"1 WORKSTEP ADDED BY AKBAR ON 22.JUN.2023, 07:34 MANDATORY: PERFORM EI- EI-23-026-N322 COMPONENT (ENGINEERING INSTRUCTIONS) REV. 00",
Own Configuration,2022-08-01,2023-07-31,48710,PWH,2023-06-22,2023-10-05,,78-32,0,0,,"1 WORKSTEP ADDED BY AKBAR ON 22.JUN.2023, 07:34 MANDATORY: PERFORM EI- EI-23-026-N322 COMPONENT (ENGINEERING INSTRUCTIONS) REV. 00",
Own Configuration,2022-08-01,2023-07-31,32332,PWA,2023-05-29,,2023-06-14,29-10,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 NITROGEN PRESSURE CHECK CHECK NITROGEN CHARGE PRESSURE ON HYDRAULIC POWER ACCUMULATORS IAW AMM",
Own Configuration,2022-08-01,2023-07-31,32337,PWA,2023-06-02,,2023-06-14,29,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 06:58 STEP-1 OPERATIONAL CHECK OF RAT MANUAL DEPLOYMENT AND FUNCTIONAL CHECK OF RAT",
Own Configuration,2022-08-01,2023-07-31,32338,PWA,2023-06-02,,2023-06-14,29,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 06:59 STEP-1  OPERATIONAL CHECK OF RAM AIR TURBINE (RAT) AUTOMATIC DEPLOYMENT",
Own Configuration,2022-08-01,2023-07-31,32340,PWA,2023-06-05,,2023-06-14,29,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 05.JUN.2023, 02:40   STEP-1   RAM AIR TURBINE EXTENSION",
Own Configuration,2022-08-01,2023-07-31,32353,PWA,2023-06-02,2024-03-01,,32,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1 FUNCTIONAL CHECK OF NLG SHOCK ABSORBER CHARGE PRESSURE AND FLUID",
Own Configuration,2022-08-01,2023-07-31,48738,PWD,2023-06-27,,2023-06-28,32,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 27.JUN.2023, 00:53 STEP-1  FUNCTIONAL CHECK OF TIRE PRESSURES",
Own Configuration,2022-08-01,2023-07-31,32355,PWA,2023-05-29,,2023-06-14,32-30,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 29.MAY.2023, 03:56 VISUAL CHECK OF NLG AND MLG DOWNLOCK SPRINGS AND ATTACHMENTS PERFORM THE VISUAL CHECK OF NLG AND MLG DOWNLOCK SPRINGS AND",
Own Configuration,2022-08-01,2023-07-31,32357,PWA,2023-06-02,2024-03-08,,32,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1 BITE CHECK OF LANDING GEAR CONTROL INTERFACE UNIT (LGCIU) USING MCDU",
Own Configuration,2022-08-01,2023-07-31,32358,PWA,2023-06-02,2024-03-01,,32,0,0,,"1 WORKSTEP ADDED BY RIZKY ON 02.JUN.2023, 04:08 STEP-1  DETAILED INSPECTION OF GEAR UPLOCK AND DOOR UPLOCK UNITS AND ROLLERS.",
Own Configuration,2022-08-01,2023-07-31,48747,PWG,2023-05-23,,2023-05-23,NAN,0,0,,"1 WORKSTEP ADDED BY ANGGUN ON 23.MAY.2023, 01:00 TO PERFORM BD CHECK DESCRIPTION SIGN ANGGUN","ACTION PERFORMED BY ANGGUN ON 23.MAY.2023, 01:00 BD CHECK PERFORMED REF FORM.F.MNT.E.102 (2-02) PERFORMED SIGN ANGGUN"
Own Configuration,2022-08-01,2023-07-31,48748,PWG,2023-05-23,,2023-05-23,NAN,0,0,,"1 WORKSTEP ADDED BY TONI ON 23.MAY.2023, 13:30 TO PERFORM DAILY CHECK DESCRIPTION SIGN TONI","ACTION PERFORMED BY TONI ON 23.MAY.2023, 13:30 DAILY CHECK PERFORMED REF.FORM.F.MNT.E.104.R104 PERFORMED SIGN TONI"
Own Configuration,2022-08-01,2023-07-31,48749,PWG,2023-05-24,,2023-05-24,NAN,0,0,,"1 WORKSTEP ADDED BY ICPU ON 24.MAY.2023, 01:00 TO PERFORM BD CHECK DESCRIPTION SIGN ICPU","ACTION PERFORMED BY ICPU ON 24.MAY.2023, 01:00 BD CHECK PERFORMED REF FORM.F.MNT.E.102 (2-02) PERFORMED SIGN ICPU"
Own Configuration,2022-08-01,2023-07-31,48750,PWG,2023-05-24,,2023-05-24,NAN,0,0,,"1 WORKSTEP ADDED BY ZUFI ON 24.MAY.2023, 12:00 TO PERFORM 24HR CHECK DESCRIPTION SIGN ZUFI","ACTION PERFORMED BY ZUFI ON 24.MAY.2023, 12:00 24HR CHECK PERFORMED REF.FORM.F.MNT.E.103 PERFORMED SIGN ZUFI"
Own Configuration,2022-08-01,2023-07-31,48751,PWA,2023-05-24,,2023-05-24,NAN,0,0,,"1 WORKSTEP ADDED BY TONI ON 24.MAY.2023, 22:00 TO PERFORM BD CHECK DESCRIPTION SIGN TONI","ACTION PERFORMED BY TONI ON 24.MAY.2023, 22:00 BD CHECK PERFORMED REF FORM.F.MNT.E.102.(2-02) PERFORMED SIGN TONI"
Own Configuration,2022-08-01,2023-07-31,48752,PWG,2023-05-25,,2023-05-25,NAN,0,0,,"1 WORKSTEP ADDED BY RHAL ON 25.MAY.2023, 12:30 TO PERFORM DAILY CHECK DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 25.MAY.2023, 12:30 DAILY CHECK PERFORMED REF.FORM.F.MNT.E.104 (2-02) PERFORMED SIGN RHAL"
Own Configuration,2022-08-01,2023-07-31,48753,PWA,2023-05-25,,2023-05-26,NAN,0,0,,"1 WORKSTEP ADDED BY AGP ON 25.MAY.2023, 21:30 TO PERFORM BD CHECK DESCRIPTION SIGN AGP","ACTION PERFORMED BY AGP ON 25.MAY.2023, 21:30 BD CHECK PERFORMED REF FORM.F.MNT.E.102.(2-02) PERFORMED SIGN AGP"
Own Configuration,2022-08-01,2023-07-31,48754,PWA,2023-05-26,,2023-05-26,77,0,0,,"1 WORKSTEP ADDED BY MYEDEX ON 26.MAY.2023, 18:00 ENG #2 FADEC FAULT DESCRIPTION SIGN MYEDEX","ACTION PERFORMED BY MYEDEX ON 26.MAY.2023, 18:00 REF TSM 77-00-00-810-884-A.DO CHECK 28 VDC AT PIN J1 AND J2 REF ASM 73-25-05 RESULT AVAIL.DO FADEC SELF TEST REF AMM"
Own Configuration,2022-08-01,2023-07-31,48755,PWG,2023-05-26,,2023-05-26,NAN,0,0,,"1 WORKSTEP ADDED BY ATV ON 26.MAY.2023, 00:50 TO PERFORM BD CHECK DESCRIPTION SIGN ATV","ACTION PERFORMED BY ATV ON 26.MAY.2023, 00:50 BD CHECK PERFORMED REF FORM.F.MNT.E.102 PERFORMED SIGN ATV"
Own Configuration,2022-08-01,2023-07-31,48756,PWG,2023-05-26,,2023-05-26,51,0,0,,"1 WORKSTEP ADDED BY RHAL ON 26.MAY.2023, 18:00 TO REPLACED LATCH LOCKED ATDRAIN PANEL . TOILET SERVICE DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 26.MAY.2023, 18:00 DO R/I LATCH LOCKED AT DRAIN PANEL D/T BROKEN OPC RESULT GOOD . REFER SRM 51-42-00"
Own Configuration,2022-08-01,2023-07-31,48757,PWA,2023-05-26,,2023-05-26,73,0,0,,"1 WORKSTEP ADDED BY SAMU ON 26.MAY.2023, 18:50 REF AML SEQ A005354 DESCRIPTION SIGN SAMU","ACTION PERFORMED BY SAMU ON 26.MAY.2023, 18:50 PERFORMED OPERATIONAL TEST OF FADEC ON THE GROUND WITH ENGINE MOTORING REF AMM 73-29-00-710-040-B RESULT GOOD."
Own Configuration,2022-08-01,2023-07-31,48758,PWG,2023-05-26,,2023-05-26,NAN,0,0,,"1 WORKSTEP ADDED BY RHAL ON 26.MAY.2023, 20:00 TO PERFORM 24HR CHECK DESCRIPTION SIGN RHAL","ACTION PERFORMED BY RHAL ON 26.MAY.2023, 20:00 24HR CHECK PERFORMED REF.FORM.F.MNT.E.103 (2-02) PERFORMED SIGN RHAL"
