A/C,Date,Station,Flightno.,Type,Delay,Int. Code,Event ID,ATA,Event Description,W/O Ref.,Rectification
PWE,2023-07-08,CGK,IP200,DELAY,3:01,42,38,22,RUD TRV LIM SYS fault appearing on ECAM,54083,"ACTION Ref PFR IP104 07 Jul 2023 shown warning message 22-00 RUD TRV LIM SYS fault with failure message 22-66-34 AFS:FAC1/RTL ACTR 4CC and AFS:FAC2/RTL ACTR 4CC with source AFS 1 and AFS 2.
 Ref TSM 22-61-00-810-805A need to replace Rudder Travel Limiter Actuator 4CC, spare taken from PK-PWF (Hangar Painting GMF) due to spare NIL.
 Replace RTL Actuator 4CC PN: DV8456701-5 SN IN: 6374 OUT: 3631, replacement ref AMM 27-23-51-000-001A/-400-001A and OPC perform result good ref AMM 22-61-
 00-710-001A.
 
  "
PWC,2023-07-11,SUB,IP209,DELAY,0:20,43,39,52,,,
PWC,2023-07-11,CGK,IP202,DELAY,0:25,93,53,,,,
PWC,2023-07-20,CGK,IP206,DELAY,0:10,93,50,,,,
PWC,2023-07-20,SUB,IP207,DELAY,0:03,93,51,,,,
PWC,2023-07-20,CGK,IP100,DELAY,0:22,43,40,32,,,
PWC,2023-07-20,DPS,IP101,DELAY,0:08,93,49,,Impact delay from IP100,,
PWC,2023-07-22,PDG,IP353,DELAY,0:15,93,43,,,,
PWA,2023-07-28,YIA,IP243,DELAY,0:49,93,52,,,,
PWA,2023-07-28,CGK,IP242,DELAY,1:03,43,47,25,,,
PWC,2023-08-02,PNK,IP633,DELAY,1:05,41,48,,,,
