AC_REG,LOG_SN,DATE,FLT_NUM,FROM,TO,REPORT_STA,PM,ATA,DEFECTS,ACTIONS,ENG1_OIL,ENG2_OIL,APU_OIL,IDG1_OIL,IDG2_OIL,G_HYD,B_HYD,Y_HYD,PART_DESC,PN_OFF,PN_ON,SN_OFF,SN_ON,POS/FIN,MEL REF,MEL CAT
PK-PWA,A0000108,2022-04-20,-,-,-,CGK,MAREP,,FOUND LH TIP OUTBOARD FLAP RUBBING STRIPS,PERFORMED TEMPORARY REPAIR ON LH TIP OUTBOARD FLAP RUBBING STRIPS REF SRM 57-53-11 TASK 57-53-11-300-006. THIS TEMPORARY REPAIR MUST BE REPLACED BY A PERMANENT REPAIR WITHIN 200 FC. INSERTED INTO ASDCS.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000109,,,,,CGK,,,,,,,,,,,,,,,-,,,,-,-
PK-PWA,A0000110,2022-04-22,-,-,-,CGK,MAREP,,REF TECHLOG SEQ F1120712 HIL F/CTL SLAT SYS 2 FAULT,REF TSM TASK 27-81-00-810-811 FOUND SFCC1 (21CV) FAULTY. REPLACED SFCC1 REF AMM 27-51-34-400-001. OPERATIONAL TEST OF THE FLAP AND SLAT SYSTEM REF AMM 27-54-00-710-002 WITH SATISFACTORY RESULT. HIL CLOSED.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000110,2022-04-22,-,-,-,CGK,MAREP,,FWD RH ESCAPE SLIDE/RAFT SENT TO SHOP,REMOVAL OF FWD RH SLIDE RAFT TO SHOP PER AMM 25-62-44-400-802 OPERATIONAL TEST OF THE SLIDE RAFT REF AMM 25-62-44-710-062 WITH SASTISFACTORY RESULT. RII ACCEPTED.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000111,2022-04-22,-,-,-,CGK,MAREP,,AFT RH DOOR SLIDE SEND TO SHOP,REMOVAL OF AFT RH SLIDE RAFT FOR SHOP PER AMM25-62-44-400-803. OPERATIONAL TEST OF THE SLIDE RAFT PER AMM 25-62-44-710-064 WITH SATISFACTORY RESULT. RII ACCEPTED.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000111,2022-04-22,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000112,2022-04-23,-,-,-,CGK,MAREP,,NAVIGATION DATABASE,"NDB EXPIRED ON 20-APR-22. NDB INSERTED TO HIL, DUE ON 30-APR-2022",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000112,2022-04-23,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000113,2022-04-23,PK-PWA,CGK,DPS,DPS,PIREP,,FCTL SLAT SYS 2 FAULT,CHECK ON PFR CAPTURED SFCC - SLAT. IAW TSM 27-81-00-810-811 FOR T/S SFCC2 SWAPPED WITH SFCC1. DO THE OPERATIONAL TEST OF THE SLAT SYSTEM. NO FAULTS. AMM 27-84-00-710-001,2,3,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000113,2022-04-23,PK-PWA,DPS,CGK,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000114,2022-04-24,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000115,,,,,CGK,,,,,,,,,,,,,,,,,,,-,-
PK-PWA,A0000116,2022-04-24,PK-PWA,KNO,CGK,CGK,PIREP,27,F/CTL SLAT SYS 1 FAULT INTERMITTENT DURING CRUISE,"REF AML SN A0000113, SFCC BACK TO ORIGINAL POSITION. REPLACED SFCC 2 REF AMM 27-51-34-000-001, 27-51-34-400-001. DO SFCC SLAT SYSTEM BITE TEST WITH GOOD RESULT, REF AMM 27-81-00-740-002.",0,0,0,0,0,0,0,0,SFCC,49-170-11,49-170-11,49-170-BA05738,49-170BA08684,2,-,-
PK-PWA,A0000116,2022-04-24,PK-PWA,KNO,CGK,CGK,PIREP,,SIMULATED BOTH FMGC MALFUNCTION DURING PROVING FLIGHT,DO AFS BITE TEST IAW AMM TASK 22-96-00-710-001 FOUND BOTH FMGC PASS (SIMULATED),0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000117,2022-04-24,-,-,-,CGK,MAREP,,DURING 24H CHECK FOUND FWD RH DOOR DAMPER LOW PRESS,"SERVICING OF FWD RH DOOR DAMPER AND CHECK PRESSURE, GOOD RESULT. REF AMM 52-22-00-614-002",1,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000117,2022-04-24,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000118,2022-04-25,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000119,2022-04-25,PK-PWA,CGK,BDJ,BDJ,-,,-,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000120,2022-04-25,PK-PWA,BDJ,CGK,CGK,PIREP,0,SIMULATED START VALVE ENG1 FAULT,"DO PFR CHECK, NOT FOUND RELATED START VALVE MSG. DO OPERATIONAL FADEC TEST REF AMM 73-29-00-710-802. TEST RESULT OK. (SIMULATED)",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000121,,,,,CGK,,,,,,,,,,,,,,,-,,,,-,-
PK-PWA,A0000122,,,,,CGK,,,,,,,,,,,,,,,-,,,,-,-
PK-PWA,A0000123,2022-04-26,-,-,-,CGK,MAREP,25,FWD RH DOOR ESCAPE SLIDE RAFT SEND TO SHOP,REPLACED FWD RH ESCAPE SLIDE RAFT PER AMM 25-62-44-PB401. OPS TEST OF ESCAPE SLIDE PERFORMED REF AMM 25-62-44-710-064.,0,0,0,0,0,0,0,0,SLIDE RAFT,D30664-709,D30664-709,A7491RP,L25461,FWD RH,-,-
PK-PWA,A0000123,2022-04-26,-,-,-,CGK,MAREP,25,AFT RH DOOR SLIDE RAFT SEND TO SHOP,REPLACED AFT RH ESCAPE SLIDE RAFT FOR SEND TO SHOP REF AMM 25-62-55-PB401. OPS TEST OF ESCAPE FACILITIES REF AMM 25-62-44-710-064.,0,0,0,0,0,0,0,0,SLIDE RAFT,D30665-709,D30665-709,M8218,M8755,AFT RH,-,-
PK-PWA,A0000124,2022-04-26,-,-,-,CGK,MAREP,,FOUND INITIAL PRESS OF PARKING BRAKE ACCUMULATOR 600 PSI,DO SERVICING OF INITIAL PARKING BRAKE REF AMM 12-14-32-614-002. OPS CHECK OF PARKING BRAKE ACCY RESULT GOOD. REFER AMM 32-44-11-200-001,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000124,2022-04-26,-,-,-,CGK,MAREP,52,FOUND DOOR DAMPER FWD RH ZERO PRESSURE,"AFTER CHECK SUSPECT DIAPHRAGM WAS LEAKING. D/T NIL SPARE, INSERT TO HIL REF MEL 52-10-04 CAT D",0,0,0,0,0,0,0,0,-,-,-,-,-,-,52-10-04A,D
PK-PWA,A0000125,,,,,CGK,,,,,,,,,,,,,,,,,,,,
PK-PWA,A0000126,2022-04-27,-,-,-,CGK,MAREP,,DEMO EVAT EVENT 16 APR 2022: DEPLOYED 6EA CREW LIFE VEST AND 2EA PAX LIFE VEST,"COMPLETED THE 6EA CREW LIFE VEST AND 2EA PAX LIFE VEST.
PN 63600-501: L3970830, L4916782, L4916733, L4916734, L4916730, L4916781.
PN 63600-101: L5192457, L5218550",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000126,2022-04-27,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000127,2022-04-28,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000128,2022-04-29,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000129,2022-04-29,-,-,-,CGK,MAREP,25,"REF CML SEQ C0000203 RECLINE OF SEAT NO 4C, 16B, 23D, AND 24E ARE NOT PROPER","AFTER CHECK FOUND HYDROLOCKS WEREWEAK. NEED REPLACEMENT OF HYDROLOCK. D/T NIL SPARE, INSERT TO HIL",0,0,0,0,0,0,0,0,-,-,-,-,-,-,25-20-02A,D
PK-PWA,A0000130,,,,,CGK,,,,,,,,,,,,,,,,,,,,
PK-PWA,A0000131,2022-04-29,6D-101,DPS,CGK,CGK,PIREP,27,FCTL SLAT SYS 2 FAULT INTERMITTENT IN FLIGHT,"REF TSM TASK 27-81-00-810-832, VISUAL CHECK OF PINS SFCC2 (22CV) AND SFCC1 (21CV). DID NOT FIND ABNORMAL CONDITION. CHECK CB 5CV, 7CV CONDITION OK. BITE TEST WITH THE APPLICABLE SFCC PER AMM 27-81-00-740-002, RESULT OK.",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000131,2022-04-29,6D-101,DPS,CGK,CGK,PIREP,36,HP BLEED VALVE1 FAULT DURING PACK OFF SELECTION,REF TSM 36-11-00-810-837 CHECK OF THE UNIONS OF THE SENSE LINE AT THE ENG1 HP BLEED VLV AND ENG1 PRV. RESULT: PROPERLY TIGHT. MANUAL OPENING-CLOSING OF HP BLEED VLV. RESULT NORMAL OPEN-CLOSE. BITE TEST  OF BMC1 REF AMM 36-11-00-740-001,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWA,A0000132,,,,,CGK,,,,,,,,,,,,,,,,,,,,
PK-PWA,A0000133,2022-04-30,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000252,2022-04-09,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000252,2022-04-09,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000253,2022-04-09,PK-PWC,MPL,DWC,DWC,PIREP,0,NIL,NIL,0,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000254,2022-04-10,-,-,-,DWC,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000255,2022-04-10,PK-PWC,DWC,UTP,UTP,MAREP,,SERVICING OIL ENG1 AND ENG2,SERVICING OIL ENG1 AND ENG2 CARRIED OUT PER AMM 12-13-79-PB301,1,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000255,2022-04-10,-,-,-,UTP,MAREP,,RE-INSPECTION FILLER CAPS ENG1 AND ENG2,"RE-INSPECTION OIL FILLER CAPS AFTER SERVICING ENG1 AND ENG2 CARRIED OUT, FOUND SECURE. PER QN-6005",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000256,2022-04-11,PK-PWC,UTP,CGK,CGK,PIREP,0,NIL,NIL,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000257,2022-04-14,-,-,-,CGK,MAREP,,REF DGCA FINDING 1EA CARGO BAY LIGHT OFF,PERFORMED REPOSITION LIGHT OF THE CARGO BAY AREA REF AMM 33-34-11-PB-401. DO OPERATIONAL TEST OF THE LIGHT CARGO COMPARTMENT REF 33-34-00-710-001. RESULT ILLUMINATE,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000257,2022-04-14,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK PER F.MNT.M.104. TYRE PRESS NW: 187/187 PSI. MW: 219/219/219/219 PSI,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000258,2022-04-15,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000261,2022-04-17,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000262,2022-04-18,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000262,2022-04-18,-,-,-,CGK,MAREP,,INSTALL A/C DOCUMENT,PERFORMED INSTALLATION OF CERTIFICATE OF AIRWORTHINESS ON A/C DOCUMENT. VALID UNTIL 17 APR 2023.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000263,2022-04-19,-,-,-,CGK,MAREP,,INSTALL A/C DOCUMENT,PERFORMED INSTALLATION OF NOISE CERTIFICATION,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000263,2022-04-19,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000264,2022-04-20,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000265,2022-04-22,-,-,-,CGK,MAREP,,INSTALL FWD LH ESCAPE SLIDE AFTER SEND TO SHOP,FWD LH SLIDE RAFT INSTALLED AFTER SHOP PER AMM 25-62-44-400-007. DO OPS TEST REF AMM 25-62-44-710-061. SATISFACTORY RESULT,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000265,2022-04-22,-,-,-,CGK,MAREP,,INSTALL AFT LH PAX DOOR SLIDE RAFT AFTER SEND TO SHOP,AFT LH SLIDE RAFT INSTALLED AFTER SHOP PER 25-62-44-400-006. OPS TEST REF AMM 25-62-44-710-059. SATISFACTORY RESULT.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000266,2022-04-22,-,-,-,CGK,MAREP,,INSTALLED LH OVERWING SLIDE AFTER SHOP,INSTALLED LH OVERWING SLIDE FOR SEND TO SHOP PER 25-62-46-400-803. DO OPS TEST REF AMM 25-62-46-710-052. SATISFACTORY RESULT.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000266,2022-04-22,-,-,-, CGK,MAREP,,INSTALL RH OVERWING SLIDE AFTER SHOP,,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000267,2022-04-22,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000268,2022-04-23,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000269,,,,,,,,,,,,,,,,,,,,,,,,,
PK-PWC,A0000270,2022-04-23,PK-PWC,CGK,DPS,DPS,PIREP,36,AIR APU BLEED FAULT,"CHECKED PFR, NO FAULT MSG BMC1 AND BMC2 SYST. TEST OK, PROBLEM STILL EXIST REF AMM 36-11-00-740-001. APU BLEED AIR SUPPLY CONSIDER INOP. APPLY MEL",0,0,0,0,0,0,0,0,-,-,-,-,-,-,1936-12-01,C
PK-PWC,A0000270,2022-04-23,PK-PWC,CGK,DPS,DPS,PIREP,0,"SIMULATION FOR PROVING FLIGHT
1. AUTOFLIGHT YAW DAMPER
2. CAB PRESS EXCESS CAB ALTITUDE
3. AUTOFLIGHT YAW DAMPER SYS","PFR CHECK, NO FAULT DETECTED. AFS TEST REF AMM 22-96-00-710-001. RESULT OK, NO MSG ON ECAM.",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000271,2022-04-23,PK-PWC,DPS,CGK,CGK,PIREP,0,CABIN PRESS EXCES CAB ALTITUDE (SIMULATED),PFR CHECK NO FAULT DETECTED DO SYST TEST OF CPC1 AND CPC2. RESULT OK REF AMM 21-31-00-710-0002,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000271,2022-04-23,PK-PWC,DPS,CGK,CGK,PIREP,0,AUTOFLIGHT YAW DAMPER SYS (SIMULATED),PFR CHECK NO FAULT DETECTED. AFS SYSTEM TEST RESULT OK REF AMM 27-96-00-710-001,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000272,2022-04-23,PK-PWC,DPS,CGK,CGK,MAREP,,SERVICING OIL ENG1,,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000272,2022-04-23,PK-PWC,DPS,CGK,CGK,PIREP,0,PROVING FLIGHT SIMULATED DUAL FMGC FAULT,"PFR CHECK, NO FAULT DETECTED. AFS SYST TEST RESULT OK REF AMM 22-96-00-710-001",0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000273,2022-04-24,PK-PWC,CGK,SUB,SUB,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000273,2022-04-24,PK-PWC,SUB,CGK,CGK,PIREP,0,PROVING FLIGHT SIMULATED DUAL FMGC FAULT,PFR CHECK NO FAULT DETECTED. AFS SYSTEM TEST RESULT OK REF AMM 27-96-00-710-001,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000275,2022-04-24,-,-,-,CGK,MAREP,,"REF HIL ON AML A0000270, APU BLEED FAULT",REF TSM 49-00-81-810-813 CHECK APU LAST LEG REPORT SHOW MESSAGE DIFFERENTIAL PRESS XDCR. CHECK CONNECTOR OF P2A RESULT NO ABNORMALITY. DO CLEAN UP AND RECONNECT. PERFORMED START APU AND APPLY BLEED AIR FOR 20 SECOND RESULT GOOD. APU BLEED NORMAL AND NO FAULT. REF AMM 49-00-00-860-008. HIL CLOSED.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000275,2022-04-24,-,-,-,CGK,MAREP,,PERFORM WEEKLY CHECK,PERFORMED WEEKLY CHECK REF FORM F.MNT.M.105,2,3,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000276,2022-04-25,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000277,,,,,,,,,,,,,,,,,,,,,,,,,
PK-PWC,A0000278,2022-04-25,PK-PWC,DPS,CGK,CGK,PIREP,0,SIMULATION DURING PROVING FLIGHT WHERE NOSE WHEEL STEERING FAULT ON GROUND DURING TAXI,RESET A/SKID NWS ON LG CTRL PANEL AND BITE BSCU1 AND 2. RESULT TEST OK MSG DISAPPEAR REF AMM 32-46-00-610-001,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000287,2022-04-30,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000288,2022-04-30,6D-102,CGK,DPS,DPS,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000288,2022-04-30,6D-101,DPS,CGK,CGK,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000288,2022-04-30,-,-,-,CGK,MAREP,,REF CML SEQ C 0000006 CABIN CEILING LIGHT NO 10ABC NOT ILLUMINATE,"AFTER CHECK, SUSPECT BULB WAS BAD. NEED TO REPLACE BULB. D/T NIL SPARE TRBL INSERT TO HIL",0,0,0,0,0,0,0,0,-,-,-,-,-,-,33-20-01A,C
PK-PWC,A0000288,2022-04-30,-,-,-,CGK,MAREP,33,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000281,2022-04-26,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000289,2022-05-01,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000290,2022-05-02,-,-,-,CGK,MAREP,,PERFORM WEEKLY CHECK,PERFORMED WEEKLY CHECK REF FORM F.MNT.M.105,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000291,2022-05-03,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000292,2022-05-04,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104.,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000293,2022-05-05,-,-,-,CGK,MAREP,33,REF AML SEQ A0000280 CML OPEN WINDOW LIGHT NO. 5 & 6 RH DOES NOT ILLUM,REF CONCESSION LETTER NO QA/CL/22/001 EXTEND REPAIR INTERVAL FOR WINDOW LIGHT NO. 5 & 6 RH PER MEL ITEM 33-20-01A,0,0,0,0,0,0,0,0,-,-,-,-,-,-,33-20-01,C
PK-PWC,A0000293,2022-05-05,-,-,-,CGK,MAREP,,REF HIL ON AML A0000277 APU BLEED FAULT,REPLACE DP SENSOR REF AMM 49-51-16-PB401. PERFORM SELF TEST OF THE ECB WITH STISFACTORY RESULT REF AMM 49-00-00-710-009. CHECKED FOR AIR LEAKS RESULT NO LEAKS. REF AMM 49-00-00-790-006. HIL CLOSED,0,0,0,0,0,0,0,0,DIFFERENTIAL PRESSURE SWITCH,3876227-2,3876227-2,81121419590,1.82E+12,APU,-,-
PK-PWC,A0000294,2022-05-05,-,-,-,CGK,MAREP,36,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000295,2022-05-06,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000296,2022-05-06,6D-102,CGK,DPS,DPS,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000296,2022-05-06,6D-101,DPS,CGK,CGK,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000297,2022-05-06,-,-,-,CGK,MAREP,33,DURING WAC FOUND LH LANDING LIGHT DOES NOT EXTEND AND RETRACT,REF AMM 33-42-00-710-001 DO OPERATIONAL TEST OF LDG LIGHT. RESULT DOES NOT EXTEND & RETRACT. CHECK CB LH LDG LIGHT POP OUT. SUSPECT NEED LANDING LIGHT ASSY. D/T NIL SPARE INSERT TO HIL REF MEL 33-04-04B,1,1,0,0,0,0,0,0,-,-,-,-,-,-,33-04-04B,C
PK-PWC,A0000298,2022-05-07,-,-,-,CGK,MAREP,,PERFORM 24H CHECK,PERFORMED 24H CHECK PER FORM F.MNT.103,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
,A0000299,2022-05-08,-,-,-,CGK,MAREP,,PERFORM BD CHECK,PERFORMED BD CHECK PER FORM F.MNT.M.102,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000300,2022-05-08,6D-102,CGK,DPS,DPS,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000300,2022-05-08,6D-101,DPS,CGK,CGK,PIREP,0,NIL,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
PK-PWC,A0000300,2022-05-08,-,-,-,CGK,MAREP,,PERFORM DAILY CHECK,PERFORMED DAILY CHECK REF F.MNT.M.104,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
